,tweet_id,retweet_count,favorite_count,retweeted,display_text_range
1868,675149409102012420,1878,4037,False,"[0, 39]"
1869,675147105808306176,273,1026,False,"[0, 128]"
1870,675146535592706048,349,1300,False,"[0, 98]"
1871,675145476954566656,1011,2305,False,"[0, 138]"
1872,675135153782571009,542,1398,False,"[0, 98]"
1873,675113801096802304,877,2120,False,"[0, 140]"
1874,675111688094527488,283,1042,False,"[0, 137]"
1875,675109292475830276,1259,3006,False,"[0, 137]"
1876,675047298674663426,366,1141,False,"[0, 117]"
1877,675015141583413248,1335,2918,False,"[0, 139]"
1878,675006312288268288,252,1057,False,"[0, 134]"
1879,675003128568291329,517,1672,False,"[0, 140]"
1880,674999807681908736,1232,2433,False,"[0, 101]"
1881,674805413498527744,391,934,False,"[0, 133]"
1882,674800520222154752,949,3240,False,"[0, 137]"
1883,674793399141146624,1225,2697,False,"[0, 51]"
1884,674790488185167872,278,1180,False,"[0, 47]"
1885,674788554665512960,230,871,False,"[0, 128]"
1886,674781762103414784,1335,2169,False,"[0, 134]"
1887,674774481756377088,532,1213,False,"[0, 139]"
1888,674767892831932416,883,1981,False,"[0, 139]"
1889,674764817387900928,263,852,False,"[0, 140]"
1890,674754018082705410,488,1456,False,"[0, 89]"
1891,674752233200820224,516,1580,False,"[0, 104]"
1892,674743008475090944,607,1514,False,"[0, 98]"
1893,674742531037511680,55,527,False,"[0, 107]"
1894,674739953134403584,437,1194,False,"[0, 69]"
1895,674737130913071104,103,693,False,"[0, 144]"
1896,674690135443775488,510,1237,False,"[0, 139]"
1897,674670581682434048,729,1751,False,"[0, 143]"
1898,674664755118911488,276,994,False,"[0, 139]"
1899,674646392044941312,557,1533,False,"[0, 141]"
1900,674644256330530816,311,1111,False,"[0, 77]"
1901,674638615994089473,650,1806,False,"[0, 133]"
1902,674632714662858753,637,1617,False,"[0, 140]"
1903,674606911342424069,115,1013,False,"[0, 134]"
1904,674468880899788800,2275,6676,False,"[0, 91]"
1905,674447403907457024,393,1137,False,"[0, 138]"
1906,674436901579923456,426,1198,False,"[0, 139]"
1907,674422304705744896,592,1536,False,"[0, 94]"
1908,674416750885273600,157,731,False,"[0, 133]"
1909,674410619106390016,515,1289,False,"[0, 91]"
1910,674394782723014656,635,1607,False,"[0, 110]"
1911,674372068062928900,346,931,False,"[0, 144]"
1912,674330906434379776,83,602,False,"[0, 11]"
1913,674318007229923329,570,1516,False,"[0, 96]"
1914,674307341513269249,7641,12129,False,"[0, 52]"
1915,674291837063053312,6533,15817,False,"[0, 92]"
1916,674271431610523648,800,1682,False,"[0, 62]"
1917,674269164442398721,255,961,False,"[0, 140]"
1918,674265582246694913,936,1766,False,"[0, 138]"
1919,674262580978937856,498,1391,False,"[0, 125]"
1920,674255168825880576,619,1581,False,"[0, 77]"
